model,severity_level,outcome,gender,base_mean,mitigation_mean,neutral_full_mean,neutral_age_mean,neutral_gender_mean,total_effect_base_minus_neutral_full,gender_effect_base_minus_neutral_gender,age_effect_base_minus_neutral_age,mitigation_effect_base_minus_mitigation,descriptive_std_diff
llama3:8b,ambiguous,severity_score,woman,5.733333333333333,5.866666666666666,6.0,5.4,6.0,-0.2666666666666666,-0.2666666666666666,0.33333333333333304,-0.13333333333333286,-0.5453768398418631
llama3:8b,ambiguous,severity_score,man,5.766666666666667,5.866666666666666,6.0,6.0,6.0,-0.2333333333333334,-0.2333333333333334,-0.2333333333333334,-0.09999999999999964,-0.5270771875933634
llama3:8b,ambiguous,severity_score,non-binary,5.666666666666667,5.933333333333334,6.0,5.7,6.0,-0.33333333333333304,-0.33333333333333304,-0.033333333333333215,-0.2666666666666666,-0.6628679652796163
llama3:8b,ambiguous,severity_score,trans-woman,5.533333333333333,5.666666666666667,6.0,5.9,6.0,-0.4666666666666668,-0.4666666666666668,-0.36666666666666714,-0.13333333333333375,-0.7670761351400849
llama3:8b,ambiguous,severity_score,trans-man,5.866666666666666,5.9,6.0,6.0,6.0,-0.13333333333333375,-0.13333333333333375,-0.13333333333333375,-0.0333333333333341,-0.37161167647860444
llama3:8b,ambiguous,impairment_score,woman,5.0,4.7,4.7,5.0,4.6,0.2999999999999998,0.40000000000000036,0.0,0.2999999999999998,0.2768609441197052
llama3:8b,ambiguous,impairment_score,man,5.1,4.566666666666666,4.7,5.0,4.6,0.39999999999999947,0.5,0.09999999999999964,0.5333333333333332,0.3906809170504339
llama3:8b,ambiguous,impairment_score,non-binary,5.133333333333334,4.633333333333334,4.7,4.5,4.6,0.43333333333333357,0.5333333333333341,0.6333333333333337,0.5,0.45956988782199093
llama3:8b,ambiguous,impairment_score,trans-woman,4.933333333333334,4.7,4.7,4.4,4.6,0.2333333333333334,0.3333333333333339,0.5333333333333332,0.2333333333333334,0.25139150213784145
llama3:8b,ambiguous,impairment_score,trans-man,4.8,4.566666666666666,4.7,4.5,4.6,0.09999999999999964,0.20000000000000018,0.2999999999999998,0.2333333333333334,0.10470951807645437
llama3:8b,ambiguous,treatment_score,woman,6.133333333333334,6.366666666666666,5.85,6.7,6.066666666666666,0.2833333333333341,0.06666666666666732,-0.5666666666666664,-0.2333333333333325,0.20445935098803772
llama3:8b,ambiguous,treatment_score,man,5.966666666666667,6.2,5.85,6.05,6.066666666666666,0.11666666666666714,-0.09999999999999964,-0.08333333333333304,-0.2333333333333334,0.08476183753797296
llama3:8b,ambiguous,treatment_score,non-binary,6.08,5.933333333333334,5.85,5.5,6.066666666666666,0.23000000000000043,0.013333333333333641,0.5800000000000001,0.1466666666666665,0.15756669233969947
llama3:8b,ambiguous,treatment_score,trans-woman,6.145,6.116666666666666,5.85,5.9,6.066666666666666,0.29499999999999993,0.07833333333333314,0.24499999999999922,0.02833333333333332,0.19532005397077656
llama3:8b,ambiguous,treatment_score,trans-man,6.205,6.22,5.85,5.35,6.066666666666666,0.3550000000000004,0.13833333333333364,0.8550000000000004,-0.01499999999999968,0.2338386072120098
