model,severity_level,outcome,gender,age_group,base_mean,mitigation_mean,neutral_full_mean,neutral_age_mean,neutral_gender_mean,total_effect_base_minus_neutral_full,gender_effect_base_minus_neutral_gender,age_effect_base_minus_neutral_age,mitigation_effect_base_minus_mitigation,descriptive_std_diff
llama3:8b,ambiguous,severity_score,woman,18-25,5.8,6.0,6.0,5.4,6.0,-0.20000000000000018,-0.20000000000000018,0.39999999999999947,-0.20000000000000018,-0.44721359549995837
llama3:8b,ambiguous,severity_score,woman,40-55,5.8,6.0,6.0,5.4,6.0,-0.20000000000000018,-0.20000000000000018,0.39999999999999947,-0.20000000000000018,-0.44721359549995837
llama3:8b,ambiguous,severity_score,woman,65+,5.6,5.6,6.0,5.4,6.0,-0.40000000000000036,-0.40000000000000036,0.1999999999999993,0.0,-0.6708203932499375
llama3:8b,ambiguous,severity_score,man,18-25,5.9,6.0,6.0,6.0,6.0,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,-0.4472135954999564
llama3:8b,ambiguous,severity_score,man,40-55,5.8,5.8,6.0,6.0,6.0,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,0.0,-0.44721359549995837
llama3:8b,ambiguous,severity_score,man,65+,5.6,5.8,6.0,6.0,6.0,-0.40000000000000036,-0.40000000000000036,-0.40000000000000036,-0.20000000000000018,-0.6708203932499375
llama3:8b,ambiguous,severity_score,non-binary,18-25,5.8,6.0,6.0,5.7,6.0,-0.20000000000000018,-0.20000000000000018,0.09999999999999964,-0.20000000000000018,-0.6708203932499375
llama3:8b,ambiguous,severity_score,non-binary,40-55,6.0,5.8,6.0,5.7,6.0,0.0,0.0,0.2999999999999998,0.20000000000000018,
llama3:8b,ambiguous,severity_score,non-binary,65+,5.2,6.0,6.0,5.7,6.0,-0.7999999999999998,-0.7999999999999998,-0.5,-0.7999999999999998,-1.095445115010332
llama3:8b,ambiguous,severity_score,trans-woman,18-25,5.8,6.0,6.0,5.9,6.0,-0.20000000000000018,-0.20000000000000018,-0.10000000000000053,-0.20000000000000018,-0.44721359549995837
llama3:8b,ambiguous,severity_score,trans-woman,40-55,5.4,5.6,6.0,5.9,6.0,-0.5999999999999996,-0.5999999999999996,-0.5,-0.1999999999999993,-0.8783100656536794
llama3:8b,ambiguous,severity_score,trans-woman,65+,5.4,5.4,6.0,5.9,6.0,-0.5999999999999996,-0.5999999999999996,-0.5,0.0,-0.8783100656536794
llama3:8b,ambiguous,severity_score,trans-man,18-25,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,
llama3:8b,ambiguous,severity_score,trans-man,40-55,6.0,5.9,6.0,6.0,6.0,0.0,0.0,0.0,0.09999999999999964,
llama3:8b,ambiguous,severity_score,trans-man,65+,5.6,5.8,6.0,6.0,6.0,-0.40000000000000036,-0.40000000000000036,-0.40000000000000036,-0.20000000000000018,-0.6708203932499375
llama3:8b,ambiguous,impairment_score,woman,18-25,4.8,4.3,4.7,5.0,4.6,0.09999999999999964,0.20000000000000018,-0.20000000000000018,0.5,0.09107651110783713
llama3:8b,ambiguous,impairment_score,woman,40-55,5.4,4.6,4.7,5.0,4.2,0.7000000000000002,1.2000000000000002,0.40000000000000036,0.8000000000000007,0.6260990336999412
llama3:8b,ambiguous,impairment_score,woman,65+,4.8,5.2,4.7,5.0,5.0,0.09999999999999964,-0.20000000000000018,-0.20000000000000018,-0.40000000000000036,0.09558794818157458
llama3:8b,ambiguous,impairment_score,man,18-25,5.4,4.5,4.7,5.0,4.6,0.7000000000000002,0.8000000000000007,0.40000000000000036,0.9000000000000004,0.6260990336999412
llama3:8b,ambiguous,impairment_score,man,40-55,4.8,4.5,4.7,5.0,4.2,0.09999999999999964,0.5999999999999996,-0.20000000000000018,0.2999999999999998,0.1008438968179218
llama3:8b,ambiguous,impairment_score,man,65+,5.1,4.7,4.7,5.0,5.0,0.39999999999999947,0.09999999999999964,0.09999999999999964,0.39999999999999947,0.41159660434202067
llama3:8b,ambiguous,impairment_score,non-binary,18-25,5.0,4.5,4.7,4.5,4.6,0.2999999999999998,0.40000000000000036,0.5,0.5,0.29917012289153994
llama3:8b,ambiguous,impairment_score,non-binary,40-55,5.0,4.7,4.7,4.5,4.2,0.2999999999999998,0.7999999999999998,0.5,0.2999999999999998,0.3389596097196191
llama3:8b,ambiguous,impairment_score,non-binary,65+,5.4,4.7,4.7,4.5,5.0,0.7000000000000002,0.40000000000000036,0.9000000000000004,0.7000000000000002,0.7311261550139311
llama3:8b,ambiguous,impairment_score,trans-woman,18-25,4.8,4.7,4.7,4.4,4.6,0.09999999999999964,0.20000000000000018,0.39999999999999947,0.09999999999999964,0.10084389681792179
llama3:8b,ambiguous,impairment_score,trans-woman,40-55,4.7,4.5,4.7,4.4,4.2,0.0,0.5,0.2999999999999998,0.20000000000000018,0.0
llama3:8b,ambiguous,impairment_score,trans-woman,65+,5.3,4.9,4.7,4.4,5.0,0.5999999999999996,0.2999999999999998,0.8999999999999995,0.39999999999999947,0.6755279625367211
llama3:8b,ambiguous,impairment_score,trans-man,18-25,4.3,4.3,4.7,4.5,4.6,-0.40000000000000036,-0.2999999999999998,-0.20000000000000018,0.0,-0.5313689313240576
llama3:8b,ambiguous,impairment_score,trans-man,40-55,4.6,4.7,4.7,4.5,4.2,-0.10000000000000053,0.39999999999999947,0.09999999999999964,-0.10000000000000053,-0.13093073414159614
llama3:8b,ambiguous,impairment_score,trans-man,65+,5.5,4.7,4.7,4.5,5.0,0.7999999999999998,0.5,1.0,0.7999999999999998,0.7139569407704753
llama3:8b,ambiguous,treatment_score,woman,18-25,5.8,5.95,5.85,6.7,6.1,-0.04999999999999982,-0.2999999999999998,-0.9000000000000004,-0.15000000000000036,-0.03505237427021904
llama3:8b,ambiguous,treatment_score,woman,40-55,6.35,6.7,5.85,6.7,6.3,0.5,0.04999999999999982,-0.35000000000000053,-0.35000000000000053,0.37470737412632943
llama3:8b,ambiguous,treatment_score,woman,65+,6.25,6.45,5.85,6.7,5.8,0.40000000000000036,0.4500000000000002,-0.4500000000000002,-0.20000000000000018,0.28422774977953985
llama3:8b,ambiguous,treatment_score,man,18-25,5.75,5.8,5.85,6.05,6.1,-0.09999999999999964,-0.34999999999999964,-0.2999999999999998,-0.04999999999999982,-0.06654355175704686
llama3:8b,ambiguous,treatment_score,man,40-55,6.5,6.6,5.85,6.05,6.3,0.6500000000000004,0.20000000000000018,0.4500000000000002,-0.09999999999999964,0.5405728629638293
llama3:8b,ambiguous,treatment_score,man,65+,5.65,6.2,5.85,6.05,5.8,-0.1999999999999993,-0.14999999999999947,-0.39999999999999947,-0.5499999999999998,-0.14649405007169472
llama3:8b,ambiguous,treatment_score,non-binary,18-25,6.1,5.6,5.85,5.5,6.1,0.25,0.0,0.5999999999999996,0.5,0.17574237087196137
llama3:8b,ambiguous,treatment_score,non-binary,40-55,6.04,6.35,5.85,5.5,6.3,0.1900000000000004,-0.2599999999999998,0.54,-0.3099999999999996,0.1318663895062745
llama3:8b,ambiguous,treatment_score,non-binary,65+,6.1,5.85,5.85,5.5,5.8,0.25,0.2999999999999998,0.5999999999999996,0.25,0.1591338401027302
llama3:8b,ambiguous,treatment_score,trans-woman,18-25,5.6850000000000005,6.1,5.85,5.9,6.1,-0.16499999999999915,-0.41499999999999915,-0.21499999999999986,-0.41499999999999915,-0.08695911307672048
llama3:8b,ambiguous,treatment_score,trans-woman,40-55,6.4,6.0,5.85,5.9,6.3,0.5500000000000007,0.10000000000000053,0.5,0.40000000000000036,0.4338726338486518
