model,severity_level,outcome,age_group,base_mean,mitigation_mean,neutral_full_mean,neutral_age_mean,neutral_gender_mean,total_effect_base_minus_neutral_full,gender_effect_base_minus_neutral_gender,age_effect_base_minus_neutral_age,mitigation_effect_base_minus_mitigation,descriptive_std_diff
llama3:8b,ambiguous,severity_score,18-25,5.86,6.0,6.0,5.8,6.0,-0.13999999999999968,-0.13999999999999968,0.0600000000000005,-0.13999999999999968,-0.4378317105765938
llama3:8b,ambiguous,severity_score,40-55,5.8,5.82,6.0,5.8,6.0,-0.20000000000000018,-0.20000000000000018,0.0,-0.020000000000000462,-0.4666666666666672
llama3:8b,ambiguous,severity_score,65+,5.48,5.72,6.0,5.8,6.0,-0.5199999999999996,-0.5199999999999996,-0.3199999999999994,-0.23999999999999932,-0.8298485697093461
llama3:8b,ambiguous,impairment_score,18-25,4.86,4.46,4.7,4.68,4.6,0.16000000000000014,0.2600000000000007,0.1800000000000006,0.40000000000000036,0.15829696928058964
llama3:8b,ambiguous,impairment_score,40-55,4.9,4.6,4.7,4.68,4.2,0.20000000000000018,0.7000000000000002,0.22000000000000064,0.3000000000000007,0.21275711248874796
llama3:8b,ambiguous,impairment_score,65+,5.22,4.84,4.7,4.68,5.0,0.5199999999999996,0.21999999999999975,0.54,0.3799999999999999,0.5235378204104095
llama3:8b,ambiguous,treatment_score,18-25,5.947,6.01,5.85,5.9,6.1,0.09700000000000042,-0.15299999999999958,0.04699999999999971,-0.06299999999999972,0.06427653224051046
llama3:8b,ambiguous,treatment_score,40-55,6.403,6.36,5.85,5.9,6.3,0.5529999999999999,0.10299999999999976,0.5029999999999992,0.04299999999999926,0.41194276849457845
llama3:8b,ambiguous,treatment_score,65+,5.968,6.132000000000001,5.85,5.9,5.8,0.11800000000000033,0.16800000000000015,0.06799999999999962,-0.1640000000000006,0.08047312112463809
llama3:8b,ambiguous,minimizing_score,18-25,3.28,3.46,3.2,3.14,3.3,0.07999999999999963,-0.020000000000000018,0.13999999999999968,-0.18000000000000016,0.08068349044055155
llama3:8b,ambiguous,minimizing_score,40-55,3.3,3.6,3.2,3.14,3.4,0.09999999999999964,-0.10000000000000009,0.1599999999999997,-0.30000000000000027,0.10063525404926979
llama3:8b,ambiguous,minimizing_score,65+,3.54,3.4,3.2,3.14,3.4,0.33999999999999986,0.14000000000000012,0.3999999999999999,0.14000000000000012,0.37014698188206796
llama3:8b,mild,severity_score,18-25,5.8,5.96,6.0,5.96,5.8,-0.20000000000000018,0.0,-0.16000000000000014,-0.16000000000000014,-0.4666666666666672
